id,name,gcluster,bcluster
525,W 34 St & 11 Ave,19,20
526,E 33 St & 5 Ave,20,15
528,2 Ave & E 31 St,20,5
529,W 42 St & 8 Ave,22,14
530,11 Ave & W 59 St,22,20
531,Forsyth St & Broome St,10,22
532,S 5 Pl & S 4 St,8,17
533,Broadway & W 39 St,20,14
534,Water - Whitehall Plaza,4,11
536,1 Ave & E 30 St,17,15
537,Lexington Ave & E 24 St,16,5
539,Metropolitan Ave & Bedford Ave,13,17
540,Lexington Ave & E 26 St,16,5
545,E 23 St & 1 Ave,16,5
546,E 30 St & Park Ave S,20,15
2000,Front St & Washington St,6,7
2001,Sands St & Navy St,6,17
2002,Wythe Ave & Metropolitan Ave,12,17
2003,1 Ave & E 18 St,16,5
2004,6 Ave & Broome St,9,10
2005,Railroad Ave & Kay Ave,7,17
2006,Central Park S & 6 Ave,23,12
2008,Little West St & 1 Pl,4,11
2009,Catherine St & Monroe St,10,22
2010,Grand St & Greene St,10,3
2012,E 27 St & 1 Ave,16,15
2017,E 43 St & 2 Ave,21,13
2021,W 45 St & 8 Ave,23,14
2022,E 59 St & Sutton Pl,25,16
2023,E 55 St & Lexington Ave,24,16
3002,South End Ave & Liberty St,9,11
